time,voltage,m,h,n
20.000000,17455988185499632384022025338880.000000,72149219772346788741120.000000,200636356395794432.000000,0.000000
20.500000,0.000000,0.000000,0.000000,-0.000000
21.000000,1130754282837771129192448.000000,949.522583,0.055043,14779223040.000000
21.500000,4584049048607166838615754932224.000000,226465213704371699712.000000,0.000000,0.000000
22.000000,0.000000,0.000000,0.000000,-0.000000
22.500000,211876659200.000000,13268.578125,0.048168,15133924392960.000000
23.000000,19204612340913181231933930078208.000000,53137721262080.000000,3377219840.000000,0.000000
23.500000,0.000000,0.000000,0.000000,-0.000000
24.000000,1130754282837771129192448.000000,261002780213248.000000,0.000000,209713099760992256.000000
24.500000,1130754282837771129192448.000000,0.000000,69776277632284901769216.000000,0.000000
25.000000,0.000000,0.000000,0.000000,-0.000000
25.500000,13909183488.000000,3361686784.000000,3662163036343745313763229696.000000,1167585706914754236638035968.000000
26.000000,70392340927559224959296339968.000000,263322936937562505216.000000,53968205307928673866903191552.000000,0.000000
26.500000,0.000000,0.000000,0.000000,-0.000000
27.000000,13909183488.000000,13.023259,3612562176.000000,0.000000
27.500000,61817876658765950877696.000000,15.213214,0.000055,0.000000
28.000000,0.000000,0.000000,0.000000,-0.000000
28.500000,207.321533,3545449728.000000,207631974400.000000,3458003107840.000000
29.000000,14586586595328.000000,11.829424,0.000000,0.000000
29.500000,0.000000,0.000000,0.000000,-0.000000
30.000000,3284.955078,217349.250000,16904144980916864146127198355456.000000,274096789831811072.000000
30.500000,877589.000000,869421824.000000,0.000000,0.000000
31.000000,0.000000,0.000000,0.000000,-0.000000
31.500000,0.000000,0.000000,0.000000,0.000000
32.000000,0.000000,0.000000,0.000000,0.000000
32.500000,0.000000,0.000000,0.000000,-0.000000
33.000000,0.000000,0.056503,77135134735655694727825051353088.000000,71442027416003533808681835560960.000000
33.500000,0.058212,69776421747472977625088.000000,0.000000,0.000000
34.000000,0.000000,0.000000,0.000000,-0.000000
34.500000,3343862784.000000,211876544512.000000,0.051336,3141.772461
35.000000,885859418112.000000,208.333130,0.000000,0.000000
35.500000,0.000000,0.000000,0.000000,-0.000000
36.000000,917.723572,72727954842462034329600.000000,209713099760992256.000000,4544735687647663808826191118336.000000
36.500000,13.022571,836757.375000,3696119552.000000,3890027705156980907371258707968.000000
37.000000,0.000000,0.000000,0.000000,-0.000000
37.500000,17864213189684373078671360.000000,62393148460767748554752.000000,4306626253418146037760.000000,3178456320.000000
38.000000,18060272684301224156178939904.000000,62313556344553229778944.000000,4306626253418146037760.000000,0.000000
38.500000,0.000000,0.000000,0.000000,-0.000000
39.000000,1130754282837771129192448.000000,15192.361328,18176800534038298112407185129472.000000,209713099760992256.000000
39.500000,1130754282837771129192448.000000,0.000000,69776277632284901769216.000000,0.000000
40.000000,0.000000,0.000000,0.000000,-0.000000
40.500000,1172457934746478698249060352.000000,0.000744,74992520900051100972733169664.000000,4360776947311652735153078272.000000
41.000000,1128043487679279326308597760.000000,4164197118467185504681984.000000,266215765361819648.000000,1172457934746478698249060352.000000
41.500000,73313332722027651399680.000000,0.000000,0.000000,0.000000
42.000000,0.000000,0.000000,0.000000,0.000000
42.500000,0.000000,0.000000,0.000000,0.000000
43.000000,0.000000,0.000000,0.000000,0.000000
43.500000,8900291333929249030704988160.000000,0.000000,8900343279960560596802338816.000000,0.000000
44.000000,8900395225991872162899689472.000000,0.000000,0.000000,0.000000
44.500000,0.000000,0.000000,0.000000,0.000000
45.000000,0.000000,0.000000,0.000000,0.000000
45.500000,0.000000,0.000000,0.000000,0.000000
46.000000,0.000000,0.000000,0.000000,0.000000
46.500000,0.000000,0.000000,0.000000,0.000000
47.000000,0.000000,0.000000,0.000000,0.000000
47.500000,0.000000,0.000000,0.000000,0.000000
48.000000,0.000000,0.000000,0.000000,0.000000
48.500000,0.000000,0.000000,0.000000,0.000000
49.000000,0.000000,0.000000,0.000000,0.000000
49.500000,0.000000,0.000000,0.000000,0.000000
50.000000,0.000000,0.000000,0.000000,0.000000
50.500000,0.000000,0.000000,0.000000,0.000000
51.000000,0.000000,0.000000,0.000000,0.000000
51.500000,0.000000,0.000000,0.000000,0.000000
52.000000,0.000000,0.000000,0.000000,0.000000
52.500000,0.000000,0.000000,0.000000,0.000000
53.000000,0.000000,0.000000,0.000000,0.000000
53.500000,0.000000,0.000000,0.000000,0.000000
54.000000,0.000000,0.000000,0.000000,0.000000
54.500000,0.000000,0.000000,0.000000,0.000000
55.000000,0.000000,0.000000,0.000000,0.000000
55.500000,0.000000,0.000000,0.000000,0.000000
56.000000,0.000000,0.000000,0.000000,0.000000
56.500000,0.000000,0.000000,0.000000,0.000000
57.000000,0.000000,0.000000,0.000000,0.000000
57.500000,0.000000,0.000000,0.000000,0.000000
58.000000,0.000000,0.000000,0.000000,0.000000
58.500000,0.000000,0.000000,0.000000,0.000000
59.000000,0.000000,0.000000,0.000000,0.000000
59.500000,0.000000,0.000000,0.000000,0.000000
60.000000,0.000000,0.000000,0.000000,0.000000
60.500000,0.000000,0.000000,0.000000,0.000000
61.000000,0.000000,0.000000,0.000000,0.000000
61.500000,0.000000,0.000000,0.000000,0.000000
62.000000,0.000000,0.000000,0.000000,0.000000
62.500000,0.000000,0.000000,0.000000,0.000000
63.000000,0.000000,0.000000,0.000000,0.000000
63.500000,0.000000,0.000000,0.000000,0.000000
64.000000,0.000000,0.000000,0.000000,0.000000
64.500000,0.000000,0.000000,0.000000,0.000000
65.000000,0.000000,0.000000,0.000000,0.000000
65.500000,0.000000,0.000000,0.000000,0.000000
66.000000,0.000000,0.000000,0.000000,0.000000
66.500000,0.000000,0.000000,0.000000,0.000000
67.000000,0.000000,0.000000,0.000000,0.000000
67.500000,0.000000,0.000000,0.000000,0.000000
68.000000,0.000000,0.000000,0.000000,0.000000
68.500000,0.000000,0.000000,0.000000,0.000000
69.000000,0.000000,0.000000,0.000000,0.000000
69.500000,0.000000,0.000000,0.000000,0.000000
70.000000,0.000000,0.000000,0.000000,0.000000
70.500000,0.000000,0.000000,0.000000,0.000000
71.000000,0.000000,0.000000,0.000000,0.000000
71.500000,0.000000,0.000000,0.000000,0.000000
72.000000,0.000000,0.000000,0.000000,0.000000
72.500000,0.000000,0.000000,0.000000,0.000000
73.000000,0.000000,0.000000,0.000000,0.000000
73.500000,0.000000,0.000000,0.000000,0.000000
74.000000,0.000000,0.000000,0.000000,0.000000
74.500000,0.000000,0.000000,0.000000,0.000000
75.000000,0.000000,0.000000,0.000000,0.000000
75.500000,0.000000,0.000000,0.000000,0.000000
76.000000,0.000000,0.000000,0.000000,0.000000
76.500000,0.000000,0.000000,0.000000,0.000000
77.000000,0.000000,0.000000,0.000000,0.000000
77.500000,0.000000,0.000000,0.000000,0.000000
78.000000,0.000000,0.000000,0.000000,0.000000
78.500000,0.000000,0.000000,0.000000,0.000000
79.000000,0.000000,0.000000,0.000000,0.000000
79.500000,0.000000,0.000000,0.000000,0.000000
80.000000,0.000000,0.000000,0.000000,0.000000
80.500000,0.000000,0.000000,0.000000,0.000000
81.000000,0.000000,0.000000,0.000000,0.000000
81.500000,0.000000,0.000000,0.000000,0.000000
82.000000,0.000000,0.000000,0.000000,0.000000
82.500000,0.000000,0.000000,0.000000,0.000000
83.000000,0.000000,0.000000,0.000000,0.000000
83.500000,0.000000,0.000000,0.000000,0.000000
84.000000,0.000000,0.000000,0.000000,0.000000
84.500000,0.000000,0.000000,0.000000,0.000000
85.000000,0.000000,0.000000,0.000000,0.000000
85.500000,0.000000,0.000000,0.000000,0.000000
86.000000,0.000000,0.000000,0.000000,0.000000
86.500000,0.000000,0.000000,0.000000,0.000000
87.000000,0.000000,0.000000,0.000000,0.000000
87.500000,0.000000,0.000000,0.000000,0.000000
88.000000,0.000000,0.000000,0.000000,0.000000
88.500000,0.000000,0.000000,0.000000,0.000000
89.000000,0.000000,0.000000,0.000000,0.000000
89.500000,0.000000,0.000000,0.000000,0.000000
90.000000,0.000000,0.000000,0.000000,0.000000
90.500000,0.000000,0.000000,0.000000,0.000000
91.000000,0.000000,0.000000,0.000000,0.000000
91.500000,0.000000,0.000000,0.000000,0.000000
92.000000,0.000000,0.000000,0.000000,0.000000
92.500000,0.000000,0.000000,0.000000,0.000000
93.000000,0.000000,0.000000,0.000000,0.000000
93.500000,0.000000,0.000000,0.000000,0.000000
94.000000,0.000000,0.000000,0.000000,0.000000
94.500000,0.000000,0.000000,0.000000,0.000000
95.000000,0.000000,0.000000,0.000000,0.000000
95.500000,0.000000,0.000000,0.000000,0.000000
96.000000,0.000000,0.000000,0.000000,0.000000
96.500000,0.000000,0.000000,0.000000,0.000000
97.000000,0.000000,0.000000,0.000000,0.000000
97.500000,0.000000,0.000000,0.000000,0.000000
98.000000,0.000000,0.000000,0.000000,0.000000
98.500000,0.000000,0.000000,0.000000,0.000000
99.000000,0.000000,0.000000,0.000000,0.000000
99.500000,0.000000,0.000000,0.000000,0.000000
